compoundID	smiles	IC50
NIP1	C[C@@H](C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC2=CC=CC=C2)C(C(NC3=CC=CC=C3)=O)=O)=O)=O)NC(CN4CCOCC4)=O	365.1
NIP2	O=C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(C(NC1=CC=CC=C1)=O)=O)=O)=O)OCC2=CC=CC=C2	34.01
NIP3	C[C@@H](C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC(C)C)C(C(NC2=CC=CC=C2)=O)=O)=O)=O)NC(CN3CCOCC3)=O	459.7
NIP6	O=C(N[C@@H](C)C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC(C)C)C(C(NC2=CC=CC=C2)=O)=O)=O)=O)OCC3=CC=CC=C3	841.5
NIP7	CCCC(N[C@@H](C)C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC(C)C)C(C(NC2=CC=CC=C2)=O)=O)=O)=O)=O	230.2
NIP8	O=C(N[C@@H](C)C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC(C)C)C(C(NC2=CC=CC=C2)=O)=O)=O)=O)C3=CC=CC(C4=CC=CC=C4)=N3	314.5
NIP10	O=C(N[C@@H](C)C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC(C)C)C(C(NC2=CC=CC=C2)=O)=O)=O)=O)C3=CC=CO3	653.7
NIP11	O=C(N[C@@H](C)C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC(C)C)C(C(NC2=C(C=CC=C3)C3=CC=C2)=O)=O)=O)=O)OCC4=CC=CC=C4	369.2
NIP12	O=C(C1=CC=C(C2=CC=CC=C2)C=C1)N[C@@H](C)C(N[C@@H](CC3=CC=C(OC)C=C3)C(N[C@@H](CC(C)C)C(C(NC4=CC=CC=C4)=O)=O)=O)=O	126
NIP13	O=C(C1=CC=C(C2=CC=C(C(C)=O)C=C2)O1)N[C@@H](C)C(N[C@@H](CC3=CC=C(OC)C=C3)C(N[C@@H](CC(C)C)C(C(NC4=CC=CC=C4)=O)=O)=O)=O	51.97
NIP14	O=C(N[C@@H](C)C(N[C@@H](CC1=CC=C(OC)C=C1)C(N[C@@H](CC(C)C)C(C(NC2=CC=CC=C2)=O)=O)=O)=O)OC(C)(C)C	1835
NIP16	O=C(C12CC(C3)CC(C2)CC3C1)N[C@@H](C)C(N[C@@H](CC4=CC=C(OC)C=C4)C(N[C@@H](CC(C)C)C(C(NC5=CC=CC=C5)=O)=O)=O)=O	1566
NIP17	O=C(OCC1=CC=CC=C1)N[C@@H](C)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CC(C)C)C(C(NC3=CC=CC=C3)=O)=O)=O)=O	1935
NIP18	O=C(OCC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(N[C@@H](CC(C)C)C(C(NC4=CC=CC=C4)=O)=O)=O)=O	76.18
NIP19	O=C(OCC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CC(C)C)C(C(NC3=CC=CC=C3)=O)=O)=O)=O	233.9
NIP20	O=C(OCC1=CC=CC=C1)N[C@@H](C)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(N[C@@H](CC(C)C)C(C(NC4=CC=CC=C4)=O)=O)=O)=O	147.6
NIP22	O=C(OCC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CC(C)C)C(C(NC3=CC(C(C)=O)=CC=C3)=O)=O)=O)=O	61.3
NIP28	O=C(OCC1=CC=CC=C1)N[C@@H](CC(C)C)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(N[C@@H](CC(C)C)C(C(NC4=CC(C(C)=O)=CC=C4)=O)=O)=O)=O	29.2
NIP29	O=C(C1=CC=C(C2=CC=C(C(C)=O)C=C2)O1)N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(C(NC3=CC(C(C)=O)=CC=C3)=O)=O)=O)=O	24.72
